id,external_id,cohort_id,cohort_external_id,platform,name,original_url,url,url_id,timezone,slot_interval,latitude,longitude,archived_at,city
3356,8594,5,5,opentable,Alice,https://www.opentable.com/restref/client/?restref=1006075,https://www.opentable.com/restref/client/?rid=1006075,1006075,America/Chicago,15,,,,dallas
3061,8595,5,5,opentable,Musume,https://www.opentable.com/restaurant/profile/994393/reserve,https://www.opentable.com/restref/client/?rid=994393,994393,America/Chicago,15,,,,dallas
3494,8628,4,4,opentable,The Oceanaire Seafood Room - Downtown,https://www.opentable.com/restref/client/?restref=3978,https://www.opentable.com/restref/client/?rid=3978,3978,America/New_York,15,,,,atlanta
3493,8629,4,4,opentable,Ruby Chows,https://www.opentable.com/restref/client/?restref=1071685,https://www.opentable.com/restref/client/?rid=1071685,1071685,America/New_York,15,,,,atlanta
3499,8630,4,4,opentable,The White Bull,https://www.opentable.com/restref/client?restref=1002868,https://www.opentable.com/restref/client/?rid=1002868,1002868,America/New_York,15,,,,atlanta
3492,8631,4,4,opentable,Haven Restaurant and Bar,https://www.opentable.com/restaurant/profile/7233/reserve,https://www.opentable.com/restref/client/?rid=7233,7233,America/New_York,15,,,,new_york_city
3498,8632,4,4,opentable,Sprig Restaurant and Bar,https://www.opentable.com/restaurant/profile/79867/reserve,https://www.opentable.com/restref/client/?rid=79867,79867,America/New_York,15,,,,atlanta
3930,8633,4,4,resy,KAVA neo-taverna,https://resy.com/cities/bos/kava-neo-taverna,https://resy.com/cities/bos/kava-neo-taverna,50442,America/New_York,15,,,,new_york_city
3733,8634,4,4,opentable,Morton’s The Steakhouse - Boston Seaport,https://www.opentable.com/restref/client/?restref=15187,https://www.opentable.com/restref/client/?rid=15187,15187,America/New_York,15,,,,boston
3632,8635,4,4,opentable,Sugar Factory American Brasserie,https://www.opentable.com/restaurant/profile/1046647/reserve,https://www.opentable.com/restref/client/?rid=1046647,1046647,America/New_York,15,,,,new_york_city
3732,8636,4,4,opentable,Pammy’s,https://www.opentable.com/restaurant/profile/731962/reserve,https://www.opentable.com/restref/client/?rid=731962,731962,America/New_York,15,,,,new_york_city
3991,8637,4,4,sevenrooms,Scorpion Bar Boston,https://www.sevenrooms.com/reservations/scorpionbar,https://www.sevenrooms.com/reservations/scorpionbar,scorpionbar,America/New_York,15,,,,new_york_city
3508,8638,4,4,opentable,C&S Seafood & Oyster Bar,https://www.opentable.com/restref/client/?restref=12934,https://www.opentable.com/restref/client/?rid=12934,12934,America/New_York,15,,,,atlanta
3858,8639,4,4,resy,Floataway Cafe,https://resy.com/cities/atl/floataway-cafe,https://resy.com/cities/atl/floataway-cafe,929,America/New_York,15,,,,atlanta
3731,8640,4,4,opentable,Pasha Restaurant and Bar,https://www.opentable.com/restaurant/profile/1055554/reserve,https://www.opentable.com/restref/client/?rid=1055554,1055554,America/New_York,15,,,,atlanta
3957,8641,4,4,resy,BoccaLupo,https://resy.com/cities/atl/boccalupo,https://resy.com/cities/atl/boccalupo,5041,America/New_York,15,,,,new_york_city
3631,8642,4,4,opentable,Moonshine 152,https://www.opentable.com/restref/client/?restref=161260,https://www.opentable.com/restref/client/?rid=161260,161260,America/New_York,15,,,,boston
3630,8643,4,4,opentable,boston Chops South End,https://www.opentable.com/restaurant/profile/102130/reserve,https://www.opentable.com/restref/client/?rid=102130,102130,America/New_York,15,,,,new_york_city
3507,8644,4,4,opentable,The Palm Atlanta,https://www.opentable.com/restref/client/?restref=13348,https://www.opentable.com/restref/client/?rid=13348,13348,America/New_York,15,,,,atlanta
3497,8645,4,4,opentable,Casa Romero,https://www.opentable.com/restaurant/profile/117904/reserve,https://www.opentable.com/restref/client/?rid=117904,117904,America/New_York,15,,,,boston
