external_id,name,cohort_external_id,full_address,timezone,platform,new_url,city
8956,Beverley’s Bistro & Bar,4,"3215 N Fitzhugh Ave, Dallas, TX 75204, USA",America/Chicago,resy,https://resy.com/cities/dfw/beverlys,dallas
8958,Zio Cecio,4,"4615 W Lovers Ln, Dallas, TX 75209, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/95425/reserve,new_york_city
8959,Billy Can Can,4,"2386 Victory Park Ln, Dallas, TX 75219, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1021888/reserve,dallas
8960,Bob’s Steak & Chop House - Dallas on Lemmon Avenue,4,"4300 Lemmon Ave, Dallas, TX 75219, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/6288/reserve,dallas
8961,Anju,4,"2901 Thomas Ave, Dallas, TX 75204, USA",America/Chicago,yelp,https://www.yelp.com/reservations/anju-dallas-4,new_york_city
8962,Baboush,5,"3636 McKinney Ave, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/79933/reserve,dallas
8963,Boulevardier,4,"408 N Bishop Ave, Dallas, TX 75208, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/213775/reserve,dallas
8964,Belse Restaurant,4,"1910 Pacific Ave, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1147939/reserve,new_york_city
8965,Blue Sushi Sake Grill - Uptown Dallas,4,"3220 McKinney Ave, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1184131/reserve,dallas
8967,Cane Rosso - Deep Ellum,4,"2612 Commerce St, Dallas, TX 75226, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/188800/reserve,dallas
8968,Campisi’s Restaurant - Downtown,4,"1520 Elm St, Dallas, TX 75201, USA",America/Chicago,yelp,https://www.yelp.com/reservations/campisis-restaurant-dallas-9,new_york_city
8969,Catbird,4,"1401 Elm St, Dallas, TX 75202, USA",America/Chicago,resy,https://resy.com/cities/dfw/catbird,dallas
8970,Chimichurri,4,"324 W 7th St, Dallas, TX 75208, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1085770/reserve,dallas
8971,Commons Club,4,"1445 Turtle Creek Blvd, Dallas, TX 75207, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1052224/reserve,dallas
8972,CBD Provisions,4,"1530 Main St, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/106792/reserve,dallas
8973,Celebration,4,"4503 W Lovers Ln, Dallas, TX 75209, USA",America/Chicago,yelp,https://www.yelp.com/reservations/celebration-dallas-3,dallas
8974,Del Frisco’s Double Eagle Steakhouse - Uptown,4,"2323 Olive St, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/268624/reserve,dallas
8976,Desperados Mexican Restaurant-Dallas,4,"4818 Greenville Ave, Dallas, TX 75206, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1136077/reserve,dallas
8977,Chelsea Corner,4,"4830 McKinney Ave, Dallas, TX 75205, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/443722/reserve,dallas
